id,料理名ch,カテゴリー,材料ch,説明ch,料理名jp,材料jp,説明jp,料理名en,材料en,説明en,写真ファイル名,ソート順
1,西红柿炒鸡蛋,热菜-鸡肉,鸡肉、葱、姜、蒜、酱油、调味料,鸡肉鲜嫩，香气浓郁，滋味平衡。,トマトと卵の炒め物,鶏肉、ねぎ、生姜、にんにく、醤油、調味料,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Tomato and Egg Stir-fry,"chicken, scallion, ginger, garlic, soy sauce, seasonings",Tender chicken with aromatic seasoning and a balanced savory finish.,tomato-and-egg-stir-fry.jpg,1
2,红烧肉,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,豚の角煮,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Braised Pork Belly,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,braised-pork-belly.jpg,2
3,青椒肉丝,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,青椒と豚肉の細切り炒め,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Shredded Pork with Green Pepper,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,shredded-pork-with-green-pepper.jpg,3
4,酸辣土豆丝,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,酸辣じゃがいも細切り炒め,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Hot and Sour Shredded Potato,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,hot-and-sour-shredded-potato.jpg,4
5,酱香土豆丝,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,甘辛味噌風味のじゃがいも炒め,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Saucy Shredded Potato,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,saucy-shredded-potato.jpg,5
6,鱼香肉丝,热菜-猪肉,猪里脊、木耳、胡萝卜、泡椒、鱼香酱,肉香浓郁，酱汁入味，适合搭配米饭。,魚香風豚肉の細切り炒め,豚肉、きくらげ、にんじん、唐辛子、魚香ソース,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Fish-Fragrant Shredded Pork,"pork, wood ear mushroom, carrot, chili, fish-fragrant sauce",Savory pork with rich seasoning and satisfying depth of flavor.,fish-fragrant-shredded-pork.jpg,6
7,麻婆豆腐,热菜-素,豆腐、猪肉末、豆瓣酱、花椒、葱,突出食材本味，香气自然，口感爽脆。,麻婆豆腐,豆腐、豚ひき肉、豆板醤、花椒、ねぎ,素材の持ち味を生かし、香りと食感を楽しめます。,Mapo Tofu,"tofu, minced pork, chili bean paste, Sichuan pepper, scallion",A vegetable-forward dish that highlights natural flavor and texture.,mapo-tofu.jpg,7
8,回锅肉,热菜-猪肉,猪肉、葱、姜、蒜、酱油、调味料,肉香浓郁，酱汁入味，适合搭配米饭。,回鍋肉,豚肉、ねぎ、生姜、にんにく、醤油、調味料,豚肉の旨味と香ばしい味付けを楽しめる一皿です。,Twice-Cooked Pork,"pork, scallion, ginger, garlic, soy sauce, seasonings",Savory pork with rich seasoning and satisfying depth of flavor.,twice-cooked-pork.jpg,8
9,宫保鸡丁,热菜-鸡肉,鸡肉、花生、干辣椒、葱、花椒,鸡肉鲜嫩，香气浓郁，滋味平衡。,宮保鶏丁,鶏肉、ピーナッツ、唐辛子、ねぎ、花椒,柔らかな鶏肉に香味を合わせ、豊かな風味に仕上げています。,Kung Pao Chicken,"chicken, peanuts, dried chili, scallion, Sichuan pepper",Tender chicken with aromatic seasoning and a balanced savory finish.,kung-pao-chicken.jpg,9
10,手撕包菜,热菜-素,时令蔬菜、蒜、葱、食用油、调味料,突出食材本味，香气自然，口感爽脆。,手撕包菜,季節の野菜、にんにく、ねぎ、植物油、調味料,素材の持ち味を生かし、香りと食感を楽しめます。,Hand-Torn Cabbage,"seasonal vegetables, garlic, scallion, cooking oil, seasonings",A vegetable-forward dish that highlights natural flavor and texture.,hand-torn-cabbage.jpg,10
